text,category,severity,urgency
Electrical - Street Light Not Working in Jagajeevanram Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Kammanahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Banaswadi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Gandhi Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jogupalya. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vijanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Shanthi Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Uttarahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - footpath encroachment in Doddanekkundi. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Kengeri. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Stray dog related complaints in Shankaramata. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
veterinary - Animal Rescue - Not well - Requires attention in Singasandra. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Kavalbyrasandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Shankaramata. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Thanisandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Giri Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Begur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - obstructions Branches / Trees. in Vishwanathnagenahalli. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Forest - Removal of dead/fallen trees in Anjanapur. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Doddanekkundi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Anjanapur. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
