created_at,issue_type,severity,urgency,location,complaint_text
2025-11-24T09:25:10.752516+00:00,Electrical,Medium,Angry/Urgent,Jayanagar,"The street light near the 5th cross in Jayanagar has not been working for three days, leaving the stretch dark and prone to accidents."
2025-11-24T09:26:03.449508+00:00,Water Supply Disruption,High,Neutral,,Residents of Indiranagar 9th Main have had no water supply for 24 hours. Overhead tanks are empty and senior citizens are impacted.
2025-11-24T09:26:58.023155+00:00,Water Supply Disruption,High,Neutral,,Residents of Indiranagar 9th Main have had no water supply for 24 hours. Overhead tanks are empty and senior citizens are impacted.
2025-11-24T09:27:17.920188+00:00,Waste & Sanitation,Medium,Neutral,Rajajinagar,Garbage heap near Rajajinagar 4th block park has not been cleared for a week. Stray dogs and foul smell are troubling residents.
2025-11-24T09:27:52.936312+00:00,Call Center,Low,Neutral,Malleshwaram,Debris Removal / Construction Material in Malleshwaram
2025-11-24T09:28:21.224598+00:00,Road & Pothole Hazard,High,Angry/Urgent,Vijayanagar,"There is a strong gas leak smell on Maruthi Mandir Road in Vijayanagar, and I am very worried it could lead to a dangerous accident—please respond immediately."
2025-11-24T09:30:24.601551+00:00,Health Dept,Low,Concerned,,Concerned how many days to complete sweeping the street
2025-11-24T09:31:01.477180+00:00,Road & Pothole Hazard,Low,Concerned,,Concerned how many days to complete sweeping the road in rajajinagar
2025-11-24T15:56:34.604925+00:00,Electrical,High,Angry/Urgent,,There is a dangerous electrical wire hanging loose in Gandhi Nagar school.
2025-11-25T10:17:58.031068+00:00,Infrastructure Damage,High,Angry/Urgent,Hampinagar,"A wall has suddenly collapsed in Hampinagar, and I am very worried that the remaining structure might also fall—please respond immediately."
2025-11-25T10:20:13.410266+00:00,Water Supply Disruption,High,Angry/Urgent,,A damaged gas pipeline in RPC Layout needs urgent repair as it’s a major safety concern and could lead to a blast—please take immediate action.
2025-11-25T10:21:45.807180+00:00,Garbage,High,Concerned,Attiguppe,"I am really worried and concerned because there seems to be a short circuit issue in Attiguppe, and it needs repair soon."
2025-11-25T10:46:47.689984+00:00,Road & Pothole Hazard,Medium,Concerned,,There is a large pothole in Nagarabhavi 2nd Stage that needs repair as it is causing inconvenience for daily commuters.
2025-11-25T10:57:50.771685+00:00,Bbmp Election Branch,High,Concerned,Koramangala,I am really worried and concerned because something in Koramangala feels explosive and needs quick attention
2025-11-25T10:59:27.365761+00:00,Parks And Play Grounds,High,Angry/Urgent,,"I am really worried and concerned because there seems to be a fire starting in Kengeri, and it needs quick attention."
2025-11-25T11:00:05.577117+00:00,Parks And Play Grounds,High,Angry/Urgent,Rajajinagar,"I am really worried and concerned because there seems to be a fire starting in Rajajinagar, and it needs quick repair."
2025-11-25T11:01:00.729918+00:00,Call Center,Low,Neutral,Shivajinagar,Debris Removal / Construction Material in Shivajinagar
2025-11-25T11:07:26.164210+00:00,Public Safety Concern,High,Angry/Urgent,,"I am really worried and concerned because a broken, malfunctioning electrical line in Uttarahalli is becoming a hazard with electrocution risk, and it feels like it has been ignored."
2025-11-25T11:08:42.436639+00:00,Public Safety Concern,High,Concerned,Jayanagar,I am really concerned because there is a broken and malfunctioning unit in Jayanagar that feels like a potential hazard and needs quick repair.
2025-11-25T11:09:09.274898+00:00,Public Safety Concern,High,Concerned,Jayanagar,I am really concerned because there is a broken and malfunctioning unit in Jayanagar that feels like a potential hazard and needs quick repair.
2025-11-25T11:12:58.639329+00:00,Health Dept,Low,Concerned,Rajajinagar,Concerned how many days to complete sweeping the street in Rajajinagar
2025-11-25T11:14:09.200559+00:00,Road & Pothole Hazard,Medium,Concerned,,There is a large pothole in Vijayanagar  that needs repair as it is causing inconvenience for daily commuters.
2025-11-25T11:19:03.722177+00:00,Electrical,Medium,Angry/Urgent,Jayanagar,"The street light near the 5th cross in Jayanagar has not been working for three days, leaving the stretch dark and prone to accidents."
